136561_426e584d_0000	882
146317_3eafabf0_0000	882
146317_7de88751_0000	882
113190_188366f8_0001	884
23255_972fbfe6_0020	884
28924_34ec542a_0000	884
30445_791b6800_0011	884
33147_d7173b68_0002	884
51895_5760b481_0006	884
53216_2857e8ac_0002	884
76880_9bb28e72_0005	884
77001_aa7c50ef_0003	884
91682_69b6d4ec_0000	884
24407_2d357602_0001	886
109228_5c21711a_0000	888
138221_33b0fb91_0000	888
21649_3ef60555_0001	888
21707_c15f2c00_0017	888
30690_3df2c9e2_0009	888
31277_b1263495_0001	888
46016_d699e580_0004	888
50777_2934de55_0001	888
135872_a6ca0e40_0002	892
142226_ba437656_0000	892
21492_8bd34fc1_0008	892
41229_16283ae1_0004	892
104437_c0d34287_0000	896
129696_aac1f710_0000	896
136600_cf00e137_0000	896
21740_6f0c9bdb_0007	896
